COD_EMPRESA;COD_CLIENTE;CAT_CLIENTE;NOM_CLIENTE;IND_SEGMENTO;FEC_INGRESO;IND_RELACION;COD_AGENCIA;COD_MONEDA;COD_ACTIVIDAD;COD_SUBACTIVIDAD;COD_SUBSUBACTIVIDAD;Ind_Activo;VALOR_ESTRATEGICO;SECTOR_ECONOMICO;CANAL_VENTA
100;10138;10;Cliente_0021;1;2008-07-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;D         ;5;2
100;1015;10;Cliente_0022;3;2004-02-10 00:00:00.000;5;156;NULL;10304;NULL;3;N;B         ;4;3
100;10153;10;Cliente_0023;2;2008-07-01 00:00:00.000;2;156;NULL;10299;NULL;3;N;D         ;2;3
100;10162;1;Cliente_0024;3;2008-07-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;B         ;7;2
100;1017;10;Cliente_0025;3;2004-02-12 00:00:00.000;5;156;NULL;10304;NULL;3;N;C         ;1;2
100;10184;10;Cliente_0026;5;2008-07-01 00:00:00.000;1;156;NULL;10304;NULL;3;N;B         ;5;3
100;10187;10;Cliente_0027;1;2008-07-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;B         ;3;4
100;1019;10;Cliente_0028;2;2004-02-13 00:00:00.000;1;156;NULL;10304;NULL;3;N;B         ;1;2
100;1020;10;Cliente_0029;4;2004-02-18 00:00:00.000;1;156;NULL;10301;NULL;3;N;B         ;7;3
100;10202;10;Cliente_0030;1;2008-08-01 00:00:00.000;5;156;NULL;10301;NULL;3;N;B         ;6;1
100;10206;10;Cliente_0031;1;2008-08-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;C         ;2;4
100;1021;10;Cliente_0032;2;2004-02-18 00:00:00.000;4;156;NULL;10304;NULL;3;N;C         ;2;1
100;10215;10;Cliente_0033;4;2008-08-01 00:00:00.000;2;156;NULL;10304;NULL;3;N;B         ;7;2
100;10226;10;Cliente_0034;3;2008-09-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;C         ;5;2
100;1024;10;Cliente_0035;2;2004-02-18 00:00:00.000;5;156;NULL;10304;NULL;3;N;A         ;5;5
100;1025;10;Cliente_0036;2;2004-02-20 00:00:00.000;2;156;NULL;10304;NULL;3;N;C         ;1;1
100;10250;10;Cliente_0037;5;2008-09-01 00:00:00.000;5;156;NULL;10300;NULL;3;N;C         ;2;2
100;10251;1;Cliente_0038;1;2008-09-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;A         ;7;2
100;10254;10;Cliente_0039;4;2008-09-01 00:00:00.000;1;156;NULL;10304;NULL;3;N;D         ;3;4
100;1026;1;Cliente_0040;1;2004-02-20 00:00:00.000;3;156;NULL;10172;24822;5;S;A         ;5;5
100;10272;10;Cliente_0041;4;2008-09-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;A         ;6;3
100;10290;10;Cliente_0042;3;2008-10-01 00:00:00.000;5;156;NULL;10299;NULL;3;N;D         ;2;5
100;10299;10;Cliente_0043;2;2008-10-01 00:00:00.000;2;156;NULL;10299;NULL;3;N;A         ;5;5
100;10301;10;Cliente_0044;5;2008-10-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;C         ;2;4
100;10303;10;Cliente_0045;2;2008-10-01 00:00:00.000;5;156;NULL;10299;NULL;3;N;C         ;7;2
100;10304;10;Cliente_0046;3;2008-10-01 00:00:00.000;1;156;NULL;10299;NULL;3;N;D         ;5;3
100;10308;10;Cliente_0047;3;2008-10-31 00:00:00.000;2;156;NULL;10304;NULL;3;N;A         ;4;4
100;10314;10;Cliente_0048;2;2008-10-31 00:00:00.000;3;156;NULL;10304;NULL;3;N;D         ;1;5
100;10329;10;Cliente_0049;3;2008-11-03 00:00:00.000;1;156;NULL;10304;NULL;3;N;C         ;1;3
100;1033;10;Cliente_0050;2;2004-02-25 00:00:00.000;4;156;NULL;10304;NULL;3;N;A         ;1;4
100;10332;10;Cliente_0051;5;2008-11-03 00:00:00.000;3;156;NULL;10299;NULL;3;N;A         ;6;3
100;10333;10;Cliente_0052;3;2008-11-03 00:00:00.000;4;156;NULL;10301;NULL;3;N;A         ;2;1
100;1034;1;Cliente_0053;3;2004-02-26 00:00:00.000;1;156;NULL;10224;10208;6;S;A         ;3;3
100;10358;10;Cliente_0054;3;2008-12-01 00:00:00.000;3;156;NULL;10299;NULL;3;N;C         ;7;2
100;10361;10;Cliente_0055;5;2008-12-01 00:00:00.000;4;156;NULL;10299;NULL;3;N;C         ;7;3
100;10363;10;Cliente_0056;2;2009-01-02 00:00:00.000;5;156;NULL;10304;NULL;3;N;B         ;5;3
100;10371;10;Cliente_0057;2;2009-01-02 00:00:00.000;3;156;NULL;10301;NULL;3;N;A         ;2;2
100;10373;10;Cliente_0058;5;2009-01-02 00:00:00.000;5;156;NULL;10304;NULL;3;N;C         ;6;3
100;10377;10;Cliente_0059;2;2009-01-02 00:00:00.000;3;156;NULL;10300;NULL;3;N;A         ;5;5
100;10378;10;Cliente_0060;1;2009-01-02 00:00:00.000;4;156;NULL;10304;NULL;3;N;C         ;2;1
100;10379;10;Cliente_0061;3;2009-01-02 00:00:00.000;5;156;NULL;10304;NULL;3;N;B         ;4;4
100;10380;10;Cliente_0062;5;2009-01-02 00:00:00.000;4;156;NULL;10304;NULL;3;N;B         ;4;1
100;10386;10;Cliente_0063;3;2009-01-02 00:00:00.000;1;156;NULL;10304;NULL;3;N;C         ;2;4
100;10392;1;Cliente_0064;4;2009-02-02 00:00:00.000;5;156;NULL;10303;NULL;3;N;D         ;4;3
100;10396;10;Cliente_0065;1;2009-02-02 00:00:00.000;1;156;NULL;10304;NULL;3;N;D         ;1;1
100;1040;1;Cliente_0066;4;2004-03-03 00:00:00.000;1;156;NULL;10172;10174;1;S;C         ;4;5
100;10411;10;Cliente_0067;4;2009-03-02 00:00:00.000;2;156;NULL;10304;NULL;3;N;B         ;7;4
100;10413;10;Cliente_0068;4;2009-03-02 00:00:00.000;5;156;NULL;10304;NULL;3;N;B         ;2;1
100;10417;10;Cliente_0069;5;2009-03-02 00:00:00.000;1;156;NULL;10299;NULL;3;N;C         ;1;1
100;1042;10;Cliente_0070;2;2004-03-12 00:00:00.000;1;156;NULL;10304;NULL;3;N;D         ;7;5
100;10423;10;Cliente_0071;3;2009-03-02 00:00:00.000;3;156;NULL;10299;NULL;3;N;D         ;4;3
100;10425;1;Cliente_0072;2;2009-03-02 00:00:00.000;5;156;NULL;10224;10245;6;S;B         ;5;1
100;10426;5;Cliente_0073;2;2009-03-02 00:00:00.000;4;156;NULL;10301;;3;S;C         ;5;1
100;10427;10;Cliente_0074;5;2009-03-02 00:00:00.000;2;156;NULL;10301;NULL;3;N;C         ;3;3
100;10429;10;Cliente_0075;3;2009-03-02 00:00:00.000;5;156;NULL;10304;NULL;3;N;D         ;3;3
100;10432;10;Cliente_0076;3;2009-03-02 00:00:00.000;5;156;NULL;10304;NULL;3;N;C         ;6;5
100;10433;10;Cliente_0077;2;2009-03-02 00:00:00.000;3;156;NULL;10304;NULL;3;N;C         ;6;4
100;10437;10;Cliente_0078;2;2009-03-02 00:00:00.000;3;156;NULL;10304;NULL;3;N;C         ;6;1
100;1044;10;Cliente_0079;3;2004-03-16 00:00:00.000;4;156;NULL;10304;NULL;3;N;A         ;2;1
100;10440;10;Cliente_0080;2;2009-03-02 00:00:00.000;5;156;NULL;10304;NULL;3;N;A         ;2;2
100;10442;10;Cliente_0081;1;2009-03-02 00:00:00.000;2;156;NULL;10299;NULL;3;N;A         ;4;2
100;10449;10;Cliente_0082;4;2009-04-01 00:00:00.000;3;156;NULL;10299;NULL;3;N;A         ;1;4
100;1045;10;Cliente_0083;5;2004-03-16 00:00:00.000;4;156;NULL;10304;NULL;3;N;B         ;6;4
100;10451;10;Cliente_0084;1;2009-04-01 00:00:00.000;5;156;NULL;10304;NULL;3;N;B         ;6;3
100;10453;10;Cliente_0085;3;2009-04-01 00:00:00.000;4;156;NULL;10172;21122;5;S;D         ;3;3
100;10466;10;Cliente_0086;4;2009-04-01 00:00:00.000;4;156;NULL;10301;NULL;3;N;B         ;7;5
100;10472;10;Cliente_0087;3;2009-05-01 00:00:00.000;1;156;NULL;10303;NULL;3;N;B         ;6;3
100;10474;10;Cliente_0088;5;2009-05-01 00:00:00.000;1;156;NULL;10299;NULL;3;N;A         ;4;3
100;10478;10;Cliente_0089;3;2009-05-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;C         ;6;5
100;10481;10;Cliente_0090;5;2009-05-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;D         ;3;5
100;10483;10;Cliente_0091;5;2009-05-01 00:00:00.000;2;156;NULL;10299;NULL;3;N;B         ;3;5
100;10490;10;Cliente_0092;1;2009-06-01 00:00:00.000;2;156;NULL;10299;NULL;3;N;C         ;1;4
100;10498;10;Cliente_0093;3;2009-06-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;B         ;4;5
100;10500;10;Cliente_0094;3;2009-06-01 00:00:00.000;4;156;NULL;10301;NULL;3;N;B         ;1;5
100;10510;10;Cliente_0095;5;2009-06-01 00:00:00.000;5;156;NULL;10301;NULL;3;N;B         ;5;1
100;10511;1;Cliente_0096;5;2009-06-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;A         ;4;5
100;10518;10;Cliente_0097;2;2009-06-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;D         ;1;3
100;10525;10;Cliente_0098;3;2009-06-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;C         ;6;5
100;10526;10;Cliente_0099;5;2009-06-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;A         ;1;2
100;10533;10;Cliente_0100;1;2009-07-01 00:00:00.000;3;156;NULL;10301;NULL;3;N;A         ;6;2
100;10541;10;Cliente_0101;2;2009-07-01 00:00:00.000;5;156;NULL;10304;NULL;3;N;B         ;4;1
100;10548;10;Cliente_0102;1;2009-07-01 00:00:00.000;4;156;NULL;10301;NULL;3;N;C         ;3;4
100;10554;10;Cliente_0103;3;2009-07-01 00:00:00.000;2;156;NULL;10300;NULL;3;N;C         ;5;4
100;10557;1;Cliente_0104;2;2009-07-01 00:00:00.000;5;156;NULL;10301;NULL;3;N;D         ;1;3
100;10575;5;Cliente_0105;3;2009-08-03 00:00:00.000;1;156;NULL;10300;NULL;3;N;A         ;7;2
100;10588;10;Cliente_0106;1;2009-08-03 00:00:00.000;5;156;NULL;10304;NULL;3;N;D         ;4;3
100;10592;10;Cliente_0107;5;2009-08-03 00:00:00.000;1;156;NULL;10304;NULL;3;N;C         ;5;5
100;1060;10;Cliente_0108;1;2004-03-22 00:00:00.000;3;156;NULL;10304;NULL;3;N;A         ;6;4
100;10601;1;Cliente_0109;5;2009-09-01 00:00:00.000;3;156;NULL;10224;50010;4;S;D         ;2;1
100;10602;10;Cliente_0110;4;2009-09-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;B         ;1;2
100;10603;10;Cliente_0111;3;2009-09-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;D         ;2;5
100;1061;10;Cliente_0112;2;2004-03-24 00:00:00.000;1;156;NULL;10304;NULL;3;N;D         ;2;1
100;1064;10;Cliente_0113;4;2004-03-25 00:00:00.000;5;156;NULL;10304;NULL;3;N;D         ;7;5
100;10640;10;Cliente_0114;5;2009-09-01 00:00:00.000;4;156;NULL;10172;10175;3;S;C         ;7;5
100;10642;10;Cliente_0115;2;2009-10-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;C         ;6;3
100;10645;10;Cliente_0116;4;2009-10-01 00:00:00.000;1;156;NULL;10300;NULL;3;N;A         ;2;2
100;10663;10;Cliente_0117;4;2009-10-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;A         ;7;4
100;10666;10;Cliente_0118;3;2009-10-01 00:00:00.000;2;156;NULL;10300;NULL;3;N;B         ;7;2
100;10673;10;Cliente_0119;5;2009-10-01 00:00:00.000;4;156;NULL;10299;NULL;3;N;D         ;7;3
100;10683;10;Cliente_0120;5;2009-11-02 00:00:00.000;2;156;NULL;10301;NULL;3;N;D         ;5;1
100;10689;10;Cliente_0121;1;2009-11-02 00:00:00.000;1;156;NULL;10301;NULL;3;N;C         ;7;3
100;1069;10;Cliente_0122;3;2004-04-06 00:00:00.000;3;156;NULL;10301;NULL;3;N;D         ;1;4
100;10695;10;Cliente_0123;4;2009-11-02 00:00:00.000;4;156;NULL;10304;NULL;3;N;A         ;3;3
100;1070;10;Cliente_0124;2;2004-04-06 00:00:00.000;2;156;NULL;10304;NULL;3;N;A         ;7;1
100;10700;10;Cliente_0125;2;2009-11-02 00:00:00.000;5;156;NULL;10300;NULL;3;N;D         ;7;4
100;10703;10;Cliente_0126;5;2009-11-02 00:00:00.000;4;156;NULL;10304;NULL;3;N;B         ;4;4
100;10706;10;Cliente_0127;2;2009-11-02 00:00:00.000;1;156;NULL;10304;NULL;3;N;D         ;6;5
100;10707;1;Cliente_0128;1;2009-11-02 00:00:00.000;4;156;NULL;10224;50009;3;S;A         ;5;2
100;1071;10;Cliente_0129;3;2004-06-09 00:00:00.000;4;156;NULL;10301;NULL;3;N;B         ;5;3
100;10713;10;Cliente_0130;3;2009-11-02 00:00:00.000;2;156;NULL;10301;NULL;3;N;A         ;2;2
100;1072;10;Cliente_0131;4;2004-04-06 00:00:00.000;4;156;NULL;10301;NULL;3;N;C         ;1;5
100;10730;10;Cliente_0132;3;2010-01-04 00:00:00.000;5;156;NULL;10300;NULL;3;N;C         ;5;4
100;10733;10;Cliente_0133;4;2010-01-04 00:00:00.000;2;156;NULL;10302;NULL;3;N;A         ;6;5
100;10735;1;Cliente_0134;2;2010-01-04 00:00:00.000;5;156;NULL;10172;10175;3;S;A         ;5;5
100;10739;10;Cliente_0135;3;2010-01-04 00:00:00.000;1;156;NULL;10304;NULL;3;N;C         ;3;4
100;10743;10;Cliente_0136;4;2010-01-04 00:00:00.000;5;156;NULL;10304;NULL;3;N;D         ;6;2
100;10746;10;Cliente_0137;2;2010-01-29 00:00:00.000;5;156;NULL;10303;NULL;3;N;D         ;4;3
100;10747;10;Cliente_0138;1;2010-01-04 00:00:00.000;1;156;NULL;10304;NULL;3;N;A         ;7;4
100;1075;1;Cliente_0139;4;2004-04-15 00:00:00.000;1;156;NULL;10304;NULL;3;N;C         ;4;3
100;10750;10;Cliente_0140;4;2010-01-04 00:00:00.000;4;156;NULL;10300;NULL;3;N;C         ;1;1
100;10757;1;Cliente_0141;4;2010-02-01 00:00:00.000;1;156;NULL;10224;NULL;3;S;C         ;5;2
100;10758;10;Cliente_0142;5;2010-02-01 00:00:00.000;2;156;NULL;10300;NULL;3;N;C         ;6;4
100;10763;1;Cliente_0143;4;2010-02-01 00:00:00.000;2;156;NULL;10304;;3;S;D         ;3;3
100;10775;10;Cliente_0144;5;2010-02-01 00:00:00.000;5;156;NULL;10301;NULL;3;N;C         ;7;5
100;10779;10;Cliente_0145;1;2010-02-01 00:00:00.000;5;156;NULL;10304;NULL;3;N;C         ;5;3
100;1078;10;Cliente_0146;1;2004-04-22 00:00:00.000;5;156;NULL;10304;NULL;3;N;D         ;2;1
100;10792;10;Cliente_0147;1;2010-03-05 00:00:00.000;2;156;NULL;10304;NULL;3;N;A         ;5;1
100;1080;10;Cliente_0148;5;2004-04-26 00:00:00.000;1;156;NULL;10304;NULL;3;N;D         ;7;4
100;10805;1;Cliente_0149;5;2010-03-01 00:00:00.000;2;156;NULL;10273;10234;3;S;B         ;1;3
100;10817;10;Cliente_0150;2;2010-03-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;C         ;1;1
100;10818;10;Cliente_0151;5;2010-03-01 00:00:00.000;2;156;NULL;10304;NULL;3;N;D         ;4;3
100;10819;10;Cliente_0152;3;2010-03-01 00:00:00.000;5;156;NULL;10303;NULL;3;N;D         ;4;1
100;10832;10;Cliente_0153;5;2010-04-01 00:00:00.000;2;156;NULL;10300;NULL;3;N;C         ;2;2
100;10847;10;Cliente_0154;1;2010-04-01 00:00:00.000;5;156;NULL;10304;NULL;3;N;A         ;3;1
100;10853;10;Cliente_0155;5;2010-04-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;D         ;1;5
100;10856;1;Cliente_0156;5;2010-04-01 00:00:00.000;1;156;NULL;10224;50010;3;S;C         ;3;2
100;1088;10;Cliente_0157;4;2004-05-07 00:00:00.000;2;156;NULL;10304;NULL;3;N;A         ;7;3
100;10884;10;Cliente_0158;5;2010-05-03 00:00:00.000;5;156;NULL;10304;NULL;3;N;C         ;5;5
100;10885;10;Cliente_0159;4;2010-05-03 00:00:00.000;3;156;NULL;10299;NULL;3;N;C         ;7;1
100;1089;10;Cliente_0160;4;2004-05-10 00:00:00.000;1;156;NULL;10301;NULL;3;N;D         ;3;3
100;10891;10;Cliente_0161;5;2010-05-03 00:00:00.000;2;156;NULL;10301;NULL;3;N;A         ;2;5
100;10900;10;Cliente_0162;4;2010-06-01 00:00:00.000;3;156;NULL;10304;0;3;N;D         ;4;5
100;10912;10;Cliente_0163;4;2010-06-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;D         ;7;5
100;10924;10;Cliente_0164;2;2010-06-01 00:00:00.000;2;156;NULL;10304;NULL;3;N;B         ;5;1
100;10932;10;Cliente_0165;3;2010-07-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;A         ;6;3
100;10933;10;Cliente_0166;2;2010-07-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;B         ;5;2
100;10937;10;Cliente_0167;4;2010-07-01 00:00:00.000;4;156;NULL;10300;NULL;3;N;B         ;4;2
100;10939;1;Cliente_0168;5;2010-07-01 00:00:00.000;2;156;NULL;10301;NULL;3;S;D         ;2;3
100;10941;10;Cliente_0169;5;2010-07-01 00:00:00.000;4;156;NULL;10304;0;3;N;C         ;1;2
100;10948;10;Cliente_0170;3;2010-07-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;B         ;7;1
100;10958;10;Cliente_0171;2;2010-07-01 00:00:00.000;5;156;NULL;10300;NULL;3;N;D         ;5;2
100;10966;10;Cliente_0172;2;2010-07-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;B         ;3;3
100;10967;5;Cliente_0173;2;2010-07-01 00:00:00.000;3;156;NULL;10224;10226;3;S;D         ;2;3
100;10974;10;Cliente_0174;3;2010-08-03 00:00:00.000;1;156;NULL;10301;NULL;3;N;C         ;6;5
100;10983;10;Cliente_0175;5;2010-08-03 00:00:00.000;2;156;NULL;10301;NULL;3;N;A         ;2;2
100;10988;10;Cliente_0176;2;2010-08-03 00:00:00.000;5;156;NULL;10302;NULL;3;N;C         ;1;3
100;1099;10;Cliente_0177;2;2004-05-20 00:00:00.000;2;156;NULL;10304;NULL;3;N;D         ;2;5
100;10997;10;Cliente_0178;5;2010-08-03 00:00:00.000;2;156;NULL;10304;NULL;3;N;D         ;3;4
100;10999;10;Cliente_0179;1;2010-08-03 00:00:00.000;3;156;NULL;10301;NULL;3;N;B         ;2;3
100;11003;10;Cliente_0180;1;2010-08-03 00:00:00.000;2;156;NULL;10304;NULL;3;N;B         ;5;2
100;1102;10;Cliente_0181;2;2004-05-24 00:00:00.000;3;156;NULL;10304;NULL;3;N;D         ;3;5
100;11026;10;Cliente_0182;2;2010-08-03 00:00:00.000;2;156;NULL;10301;NULL;3;N;B         ;1;3
100;11028;10;Cliente_0183;5;2010-08-03 00:00:00.000;4;156;NULL;10301;NULL;3;N;C         ;6;3
100;11029;10;Cliente_0184;1;2010-08-03 00:00:00.000;2;156;NULL;10301;NULL;3;N;B         ;7;2
100;11032;10;Cliente_0185;3;2010-08-03 00:00:00.000;5;156;NULL;10300;NULL;3;N;C         ;1;1
100;1104;10;Cliente_0186;2;2004-05-24 00:00:00.000;4;156;NULL;10304;NULL;3;N;D         ;5;5
100;11041;1;Cliente_0187;2;2010-09-01 00:00:00.000;5;156;NULL;10303;NULL;3;N;B         ;6;5
100;11053;10;Cliente_0188;5;2010-09-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;D         ;7;2
100;11057;1;Cliente_0189;2;2010-09-01 00:00:00.000;1;156;NULL;10186;10190;3;S;C         ;5;3
100;11083;10;Cliente_0190;2;2010-09-01 00:00:00.000;3;156;NULL;10300;NULL;3;N;C         ;1;5
100;11096;10;Cliente_0191;1;2010-10-01 00:00:00.000;5;156;NULL;10300;NULL;3;N;B         ;6;4
100;11099;10;Cliente_0192;3;2010-10-01 00:00:00.000;4;156;NULL;10301;NULL;3;N;B         ;7;2
100;11102;10;Cliente_0193;2;2010-10-01 00:00:00.000;5;156;NULL;10304;NULL;3;N;B         ;5;3
100;11109;10;Cliente_0194;3;2010-10-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;A         ;2;2
100;11112;10;Cliente_0195;1;2010-10-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;A         ;4;4
100;11119;10;Cliente_0196;2;2010-10-01 00:00:00.000;5;156;NULL;10300;NULL;3;N;C         ;1;1
100;11125;10;Cliente_0197;4;2010-10-01 00:00:00.000;2;156;NULL;10304;NULL;3;N;C         ;3;2
100;11132;10;Cliente_0198;5;2010-11-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;D         ;1;2
100;11136;10;Cliente_0199;2;2010-11-01 00:00:00.000;5;156;NULL;10304;NULL;3;N;D         ;3;2
100;1114;10;Cliente_0200;3;2004-05-31 00:00:00.000;1;156;NULL;10304;NULL;3;N;D         ;7;4
100;11141;10;Cliente_0201;4;2010-11-01 00:00:00.000;1;156;NULL;10304;NULL;3;N;D         ;4;4
100;11142;10;Cliente_0202;3;2010-11-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;D         ;4;5
100;11143;1;Cliente_0203;2;2010-11-01 00:00:00.000;5;156;NULL;10301;;3;S;D         ;4;3
100;11148;5;Cliente_0204;3;2010-11-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;A         ;4;4
100;11161;10;Cliente_0205;4;2010-11-01 00:00:00.000;2;156;NULL;10304;NULL;3;N;B         ;6;1
100;11163;10;Cliente_0206;2;2010-11-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;A         ;1;5
100;1117;10;Cliente_0207;4;2004-05-31 00:00:00.000;1;156;NULL;10304;NULL;3;N;D         ;7;2
100;11176;1;Cliente_0208;2;2010-11-01 00:00:00.000;2;156;NULL;10273;10234;3;S;C         ;1;3
100;11185;10;Cliente_0209;5;2010-12-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;B         ;5;1
100;1119;10;Cliente_0210;4;2004-06-07 00:00:00.000;2;156;NULL;10304;NULL;3;N;B         ;1;1
100;11190;1;Cliente_0211;5;2010-12-01 00:00:00.000;4;156;NULL;10224;50010;3;S;D         ;3;1
100;11193;10;Cliente_0212;1;2010-12-01 00:00:00.000;4;156;NULL;10300;NULL;3;N;D         ;7;1
100;11195;10;Cliente_0213;3;2010-12-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;D         ;7;4
100;11199;10;Cliente_0214;1;2010-12-01 00:00:00.000;4;156;NULL;10304;NULL;3;N;D         ;6;1
100;11201;10;Cliente_0215;3;2010-12-01 00:00:00.000;5;156;NULL;10301;NULL;3;N;B         ;7;4
100;11202;10;Cliente_0216;3;2010-12-01 00:00:00.000;1;156;NULL;10301;NULL;3;N;C         ;2;2
100;11207;10;Cliente_0217;1;2010-12-01 00:00:00.000;3;156;NULL;10301;NULL;3;N;C         ;4;2
100;11212;10;Cliente_0218;5;2010-12-01 00:00:00.000;1;156;NULL;10304;NULL;3;N;B         ;3;1
100;11213;10;Cliente_0219;1;2010-12-01 00:00:00.000;4;156;NULL;10224;50009;3;S;C         ;1;1
100;11216;1;Cliente_0220;1;2010-12-01 00:00:00.000;2;156;NULL;10303;NULL;3;S;A         ;6;3
100;11218;1;Cliente_0221;1;2010-12-01 00:00:00.000;2;156;NULL;10301;NULL;3;N;C         ;3;4
100;1122;10;Cliente_0222;5;2004-06-14 00:00:00.000;4;156;NULL;10304;NULL;3;N;C         ;4;4
100;11220;5;Cliente_0223;4;2010-12-01 00:00:00.000;5;156;NULL;10172;10173;3;S;C         ;4;3
100;11222;10;Cliente_0224;1;2010-12-01 00:00:00.000;3;156;NULL;10304;NULL;3;N;B         ;1;4
100;11238;1;Cliente_0225;4;2010-12-01 00:00:00.000;4;156;NULL;10224;NULL;3;S;D         ;3;3
100;11239;10;Cliente_0226;2;2010-12-01 00:00:00.000;2;156;NULL;10304;NULL;3;N;B         ;1;2
100;11247;1;Cliente_0227;1;2011-01-03 00:00:00.000;1;156;NULL;10304;NULL;3;N;C         ;6;2
100;11250;10;Cliente_0228;5;2011-01-21 00:00:00.000;4;156;NULL;10300;NULL;3;N;C         ;7;1
100;11251;10;Cliente_0229;4;2011-01-03 00:00:00.000;3;156;NULL;10301;NULL;3;N;B         ;2;4
100;11252;10;Cliente_0230;4;2011-01-03 00:00:00.000;5;156;NULL;10301;NULL;3;S;B         ;6;4
100;11253;10;Cliente_0231;4;2011-01-25 00:00:00.000;5;156;NULL;10301;NULL;3;N;D         ;3;2
