numContrato;idCliente;fechaInicio;montoSaldoAnterior;moneda;montoLeasing;plazoOriginal;plazo;tasa;tipoArrendamiento;montoDeposito;montoDepositoAbonado;montoSinSeguro;montoSeguroContrato;montoMantenimiento;montoSeguroMantenimiento;montoCompraFinal;montoProveedor;diaPago;fechaPrimerPago;fechaUltimoPago;fechaCancelacion;montoValorFiscal;diasGraciaPrimerPago;montoiva;anioCancelacion;churn;desTipoArrendamiento;nombreCliente;Canal;Industria;Segmento;valorCliente
14012;16974;2024-04-02;185775,72;2;185775,72;60;60;12,751347376418;4;54570;54570;2968,57;407,32;62;3498,9;54570;170700;3;2024-05-03;2029-04-03;1900-01-01;206273,4;31;61,01;1900;No;Inventario;Cliente_2328;Directo;Servicios;Corporativo;Cliente Estratégico
14001;16355;2024-03-20;126851,41;2;126851,41;60;60;12,751347376418;4;24600;24600;2313,47;305,64;62;2728,9;24600;120909;20;2024-04-20;2029-03-20;1900-01-01;160866,6;31;47,79;1900;No;Inventario;Cliente_1689;Online;Agroindustria;PyME;Cliente Estratégico
14140;17609;2024-08-23;94273,7;2;94273,7;60;60;12,751347376418;4;30000;30000;1233,41;252,19;62;1588,44;48400;92000;23;2024-09-23;2029-08-23;1900-01-01;92856;31;40,84;1900;No;Inventario;Cliente_2979;Directo;Agroindustria;Gobierno;Cliente Riesgo
14133;14481;2024-08-08;133050,51;2;133050,51;60;60;12,751347376418;4;25800;25800;2116,97;336,38;62;2567,14;51600;129000;8;2024-09-08;2029-08-08;1900-01-01;150921;31;51,79;1900;No;Inventario;Cliente_1035;Distribuidor;Servicios;PyME;Cliente Estratégico
14059;17537;2024-05-24;90964,47;2;90964,47;60;60;12,751347376418;4;0;0;2058,1;336,94;62;2508,89839888414;0;89600;24;2024-06-24;2029-05-24;1900-01-01;147422,4;31;51,86;1900;No;Inventario;Cliente_2904;Online;Servicios;PyME;Cliente Riesgo
13974;17060;2024-02-23;83529,86;2;83529,86;60;60;12,751347376418;4;16180;16180;1329,65;176,28;62;1598,9;32360;61720;25;2024-03-25;2029-02-25;1900-01-01;94075,8;31;30,97;1900;No;Inventario;Cliente_2416;Online;Agroindustria;Institucional;Cliente Ocasional
13988;16288;2024-03-07;135064,88;2;135064,88;60;60;12,751347376418;4;41000;41000;2128,25;325,3;62;2565,9;41000;90500;7;2024-04-07;2029-03-07;1900-01-01;150933;31;50,35;1900;No;Inventario;Cliente_1622;Online;Agroindustria;Institucional;Cliente Ocasional
14037;17515;2024-04-29;97966,6;2;97966,6;60;60;12,751347376418;4;18984;18984;1787,04;234,2;124;2191,8;18984;75936;25;2024-05-25;2029-04-25;1900-01-01;128714,4;26;46,56;1900;No;Inventario;Cliente_2881;Online;Gobierno;PyME;Cliente Nuevo
14043;13059;2024-05-13;61458,3;2;61458,3;60;60;12,751347376418;1;25000;25000;824,91;195,33;145,88;1200,38947567474;0;54500;15;2024-06-15;2029-05-15;1900-01-01;69967,2;33;34,27;1900;No;Finanzas;Cliente_0667;Distribuidor;Gobierno;Institucional;Cliente Riesgo
14061;17532;2024-05-31;50434;2;50434;60;60;12,751347376418;4;14670;14670;809,2;174,02;62;1075,90071782935;14670;45900;27;2024-06-27;2029-05-27;1900-01-01;62713,2;27;30,68;1900;No;Inventario;Cliente_2899;Distribuidor;Educación;Individual;Cliente Ocasional
14168;17319;2024-09-19;103106,15;2;103106,15;60;60;12,751347376418;4;19980;19980;1640,99;233,08;72;1985,7281823059;39960;97452,59;18;2024-10-18;2029-09-18;1900-01-01;116764,2;29;39,66;1900;No;Inventario;Cliente_2680;Distribuidor;Gobierno;Gobierno;Cliente Ocasional
14082;17553;2024-06-27;111525,42;2;111525,42;60;60;12,751347376418;1;27000;27000;1892,31;425,4;94;2479,23;0;101305;18;2024-06-18;2029-05-18;1900-01-01;144702,6;1;67,52;1900;No;Finanzas;Cliente_2921;Distribuidor;Construcción;PyME;Cliente Nuevo
13850;16355;2023-11-10;130452,97;2;130452,97;60;60;12,751347376418;4;25300;25300;2379,12;411,26;62;2913,9;25300;124349,5;7;2023-12-07;2028-11-07;1900-01-01;171142,8;27;61,52;1900;No;Inventario;Cliente_1689;Online;Agroindustria;PyME;Cliente Estratégico
13860;17368;2023-11-17;96946,53;2;96946,53;60;60;12,751347376418;4;13983,75;13983,75;1877,06;101,29;186;2201,7;13983,75;93225;15;2023-12-15;2028-11-15;1900-01-01;129861;28;37,35;1900;No;Inventario;Cliente_2732;Call Center;Agroindustria;PyME;Cliente Nuevo
13904;12993;2023-12-19;72031,09;2;72031,09;60;60;12,751347376418;4;14000;14000;1144,97;262,56;299,81;1751,06;28000;70000;30;2024-01-30;2028-12-30;1900-01-01;102440,4;42;43,72;1900;No;Inventario;Cliente_0645;Distribuidor;Educación;Institucional;Cliente Nuevo
13980;17014;2024-02-29;160342,09;2;160342,09;60;60;12,751347376418;4;15500;15500;3277,1;279,19;62;3662,64;15500;155000;29;2024-03-29;2029-02-28;1900-01-01;217097,4;29;44,35;1900;No;Inventario;Cliente_2368;Call Center;Educación;Corporativo;Cliente Riesgo
13984;17459;2024-03-12;25492,5;2;25492,5;60;60;12,751347376418;4;4900;4900;465,93;122,05;62;673,9;4900;22666,1;7;2024-04-07;2029-03-07;1900-01-01;38998,8;26;23,92;1900;No;Inventario;Cliente_2825;Directo;Servicios;Individual;Cliente Nuevo
13930;17392;2024-02-02;50682;2;50682;60;60;12,751347376418;1;4680;4680;1029,88;171,65;62;1293,9;0;45261;2;2024-02-02;2029-01-02;1900-01-01;75811,8;5;30,37;1900;No;Finanzas;Cliente_2757;Online;Construcción;Institucional;Cliente Nuevo
14172;17668;2024-09-23;717054,95;2;717054,95;60;60;12,751347376418;1;321137,97;321137,97;8863,57;961,16;864;10925,9950884067;0;392501,98;30;2024-09-20;2029-08-30;1900-01-01;641323,8;2;237,27;1900;No;Finanzas;Cliente_3038;Call Center;Construcción;Corporativo;Cliente Nuevo
14175;17673;2024-09-24;651025;2;651025;60;60;12,751347376418;1;325500;325500;7287,67;1082,7;0;8511,11945045175;0;325500;23;2024-09-23;2029-08-23;1900-01-01;502222,2;4;140,75;1900;No;Finanzas;Cliente_3043;Online;Educación;PyME;Cliente Ocasional
14053;12640;2024-05-21;264248,7;2;264248,7;60;60;12,751347376418;4;0;0;5303,84;416,96;30;5808,9;51000;240000;21;2024-05-21;2029-04-21;1900-01-01;345048;5;58,1;1900;No;Inventario;Cliente_0553;Directo;Servicios;Gobierno;Cliente Ocasional
13847;17359;2023-11-08;338660,74;2;338660,74;60;60;12,751347376418;4;99000;99000;5422,6;346,23;62;5883,9;99000;231000;3;2023-12-03;2028-11-03;1900-01-01;349849,8;25;53,07;1900;No;Inventario;Cliente_2722;Directo;Comercio;Institucional;Cliente Estratégico
13851;16973;2023-11-08;285165,45;2;285165,45;60;60;12,751347376418;4;55370;55370;5199,39;366,77;62;5683,9;55370;221480;7;2023-12-07;2028-11-07;1900-01-01;337689,6;29;55,74;1900;No;Inventario;Cliente_2327;Online;Comercio;Individual;Cliente Riesgo
13948;16972;2024-02-09;267826,54;2;267826,54;60;60;12,751347376418;4;52000;52000;4883,34;341,15;102;5384,1;52000;203000;29;2024-02-29;2029-01-29;1900-01-01;319589,4;20;57,61;1900;No;Inventario;Cliente_2326;Online;Construcción;PyME;Cliente Ocasional
14030;16650;2024-04-18;187995,73;2;187995,73;60;60;12,751347376418;4;18063,05;18063,05;3844,78;194,18;320;4425,8;18063,05;162567,45;17;2024-05-17;2029-04-17;1900-01-01;261537,6;29;66,84;1900;No;Inventario;Cliente_1995;Call Center;Servicios;Institucional;Cliente Riesgo
14132;14481;2024-08-08;39323,04;2;39323,04;60;60;12,7295509605266;4;10000;10000;663,13;156,65;62;910,205928184335;10000;36230;8;2024-09-08;2029-08-08;1900-01-01;52906,8;31;28,43;1900;No;Inventario;Cliente_1035;Distribuidor;Servicios;PyME;Cliente Estratégico
13836;15638;2023-10-17;71201,15;2;71201,15;60;60;12,5;4;16100;16100;1239,66;162,99;62;1493,9;16100;62800;16;2023-11-16;2028-10-16;1900-01-01;87879;30;29,25;1900;No;Inventario;Cliente_1346;Online;Servicios;PyME;Cliente Riesgo
13893;10124;2023-12-14;90738,45;2;90738,45;60;60;11,5004666632075;4;32218;32218;1287,02;156,48;62;1533,9;32218;86330;13;2024-01-13;2028-12-13;1900-01-01;90330;30;28,4;1900;No;Inventario;Cliente_0019;Tercero (Broker);Educación;Gobierno;Cliente Estratégico
13940;16382;2024-01-24;37444,42;2;37444,42;60;60;12,5;4;18250;18250;431,84;81,42;62;593,9;18250;31500;24;2024-02-24;2029-01-24;1900-01-01;34515,6;31;18,64;1900;No;Inventario;Cliente_1718;Call Center;Educación;PyME;Cliente Riesgo
13941;16988;2024-01-24;175420,35;2;175420,35;60;60;12,5;4;25485;25485;3373,24;297,88;62;3779,9;25485;150200;23;2024-02-23;2029-01-23;1900-01-01;223987,2;30;46,78;1900;No;Inventario;Cliente_2342;Distribuidor;Salud;Gobierno;Cliente Nuevo
13827;16245;2023-10-12;195692,55;2;195692,55;60;60;12,9992907595199;4;37980;37980;3588,45;518,15;565,34;4748,6;37980;160802,81;20;2023-11-20;2028-10-20;1900-01-01;280316,4;39;76,66;1900;No;Inventario;Cliente_1579;Call Center;Agroindustria;PyME;Cliente Nuevo
14112;16969;2024-07-17;28441238,76;1;28441238,76;60;60;13,9990196530562;4;4068697,5;4068697,5;567106,42;131656,62;104640;834121,6;4068697,5;25538700;9;2024-08-09;2029-07-09;1900-01-01;48204182,4;23;30718,56;1900;No;Inventario;Cliente_2323;Tercero (Broker);Construcción;Individual;Cliente Nuevo
13864;16266;2023-11-16;38771653,39;1;38771653,39;60;60;14,9984188615391;4;7506240;7506240;743802;120186,24;34314,24;918387,55;7506240;36458880;16;2023-12-16;2028-11-16;1900-01-01;53898148,8;30;20085,07;1900;No;Inventario;Cliente_1600;Online;Construcción;Corporativo;Cliente Riesgo
13906;16197;2023-12-21;117278,35;2;117278,35;60;60;12,2491421964241;4;38000;38000;1773,53;206,93;0;2007,36;38000;108500;19;2024-01-19;2028-12-19;1900-01-01;118827,6;29;26,9;1900;No;Inventario;Cliente_1530;Directo;Educación;Institucional;Cliente Riesgo
13120;16360;2022-01-06;294879,16;2;294879,16;60;60;12,000106904452;4;101173,8;101173,8;4308,87;607,19;0;4995;101173,8;187894,2;4;2022-02-04;2027-01-04;1900-01-01;294963,6;29;78,94;1900;No;Inventario;Cliente_1695;Call Center;Servicios;Gobierno;Cliente Nuevo
13555;17062;2023-02-10;31000;2;31000;60;60;11,7001610335592;4;9000;9000;409,52;56,03;15,5;490,35;15200;20750;21;2023-03-21;2028-02-21;1900-01-01;28863;39;9,3;1900;No;Inventario;Cliente_2418;Distribuidor;Comercio;Corporativo;Cliente Riesgo
14118;17572;2024-07-22;38293,8;2;38293,8;60;60;11,5004666632075;4;5000;5000;732,22;94,35;62;908,9;5000;30705;16;2024-08-16;2029-07-16;1900-01-01;53314,2;25;20,33;1900;No;Inventario;Cliente_2941;Tercero (Broker);Comercio;Individual;Cliente Estratégico
14121;17567;2024-08-16;169052,35;2;169052,35;60;60;11,9012575513235;4;32800;32800;3023,98;460,05;62;3613,9;32800;131200;15;2024-10-15;2029-09-15;1900-01-01;212761,8;27;67,87;1900;No;Inventario;Cliente_2935;Online;Gobierno;Gobierno;Cliente Estratégico
13810;16503;2023-10-04;43398,25;2;43398,25;60;60;12,5;4;8380;8380;787,84;146,9;62;1023,9;8380;31634,5;4;2023-11-04;2028-10-04;1900-01-01;59804,4;31;27,16;1900;No;Inventario;Cliente_1844;Call Center;Comercio;Gobierno;Cliente Riesgo
13814;16988;2023-10-19;87782,5;2;87782,5;60;60;12,2941758074404;4;0;0;1733,24;199,65;62;2028,9;17500;87500;4;2023-10-04;2028-09-04;1900-01-01;119693,4;1;34,01;1900;No;Inventario;Cliente_2342;Distribuidor;Salud;Gobierno;Cliente Nuevo
13982;17445;2024-03-12;40322,5;2;40322,5;60;60;12,7357726374379;4;7780;7780;689,35;163,27;62;943,9;11670;36575,97;11;2024-04-11;2029-03-11;1900-01-01;54877,2;30;29,28;1900;No;Inventario;Cliente_2811;Call Center;Agroindustria;Institucional;Cliente Ocasional
14005;17450;2024-03-21;77231,24;2;77231,24;60;60;12,7419943143492;4;18725;18725;1233,58;199,11;62;1528,64;26215;55720;22;2024-04-22;2029-03-22;1900-01-01;89681,4;32;33,95;1900;No;Inventario;Cliente_2816;Call Center;Construcción;PyME;Cliente Riesgo
14042;17508;2024-05-09;41442,83;2;41442,83;60;60;12,7357726374379;4;7998;7998;756,47;146,34;62;991,893111548899;7998;30092;9;2024-06-09;2029-05-09;1900-01-01;57888,6;31;27,08;1900;No;Inventario;Cliente_2874;Online;Comercio;Individual;Cliente Riesgo
14048;16689;2024-05-10;103091,15;2;103091,15;60;60;12,59;4;19980;19980;1873,8;208;62;2178,89690597518;19980;93700;10;2024-06-10;2029-05-10;1900-01-01;128628;31;35,1;1900;No;Inventario;Cliente_2034;Call Center;Salud;Institucional;Cliente Nuevo
13976;17451;2024-02-29;47494,47;2;47494,47;60;60;12,5;4;6870;6870;913,97;128,21;62;1128,9;6870;43800;23;2024-03-23;2029-02-23;1900-01-01;66250,8;23;24,72;1900;No;Inventario;Cliente_2817;Tercero (Broker);Comercio;Individual;Cliente Nuevo
14016;17060;2024-04-09;88505,34;2;88505,34;60;60;12,7435499234707;4;17200;17200;1613,08;56,57;0;1677;17200;68800;30;2024-04-30;2029-03-30;1900-01-01;100179;51;7,35;1900;No;Inventario;Cliente_2416;Online;Agroindustria;Institucional;Cliente Ocasional
14058;16503;2024-05-24;69529,04;2;69529,04;60;60;12,9834248096889;4;13400;13400;1276,64;331,75;192;1868,48;13400;57640;24;2024-06-24;2029-05-24;1900-01-01;108023,4;31;68,09;1900;No;Inventario;Cliente_1844;Call Center;Comercio;Gobierno;Cliente Riesgo
14000;17469;2024-04-03;50949,49;2;50949,49;60;60;12,5;4;30000;30000;471,32;170,37;32;700;30000;50740;18;2024-04-18;2029-03-18;1900-01-01;40421,4;15;26,31;1900;No;Inventario;Cliente_2835;Online;Educación;PyME;Cliente Riesgo
14165;17662;2024-09-23;19269752,08;1;19269752,08;60;60;13,9990196530562;4;1849700;1849700;405334,14;71529,01;38160;529282,72;1849700;18497000;18;2024-10-18;2029-09-18;1900-01-01;30901389;25;14259,57;1900;No;Inventario;Cliente_3032;Online;Servicios;Individual;Cliente Riesgo
14179;16976;2024-09-30;74527,5;2;74527,5;60;60;11,3688255183814;4;14844;14844;1308,7;202,36;55,5;1600,08;14844;73220;25;2024-10-25;2029-09-25;1900-01-01;93993,6;25;33,52;1900;No;Inventario;Cliente_2330;Online;Gobierno;Corporativo;Cliente Nuevo
13713;17221;2023-09-18;225077,72;2;225077,72;60;60;12,5;4;80000;80000;3263,95;248,72;0;3545;80000;140000;18;2023-10-18;2028-09-18;1900-01-01;237522,6;30;32,33;1900;No;Inventario;Cliente_2579;Online;Servicios;PyME;Cliente Estratégico
14006;17476;2024-03-26;67119,31;2;67119,31;60;60;12,7419943143492;4;13700,4;13700,4;1208,39;41,25;0;1255;13700,4;51539,6;25;2024-04-25;2029-03-25;1900-01-01;0;30;5,36;1900;No;Inventario;Cliente_2842;Tercero (Broker);Educación;PyME;Cliente Estratégico
13568;16047;2023-02-22;93054,52;2;93054,52;60;60;12,000106904452;1;25000;25000;1181,77;295,19;62;1578,9;27120;84400;21;2023-03-21;2028-02-21;1900-01-01;92337,6;27;39,94;1900;No;Finanzas;Cliente_1456;Tercero (Broker);Agroindustria;Corporativo;Cliente Nuevo
13960;17441;2024-02-14;1331921430,48;1;1331921430,48;60;60;12,9992907595199;4;324162466,69;324162466,69;23789228,5;277902,27;0;24103258,07;324162466,68;972487400,06;13;2024-03-13;2029-02-13;1900-01-01;1444027846,2;28;36127,3;1900;No;Inventario;Cliente_2807;Online;Salud;Individual;Cliente Riesgo
13746;17264;2023-08-09;42379,65;2;42379,65;60;60;12,4997906254259;4;10750;10750;711,6;140,01;62;939,87;10750;41000;9;2023-09-09;2028-08-09;1900-01-01;55058,4;31;26,26;1900;No;Inventario;Cliente_2623;Call Center;Gobierno;PyME;Cliente Estratégico
13763;15325;2023-08-24;193779,91;2;193779,91;60;60;12,25;4;65000;65000;2880,93;368,64;62;3367,55;65000;124000;23;2023-09-23;2028-08-23;1900-01-01;199675,2;30;55,98;1900;No;Inventario;Cliente_1258;Directo;Salud;Individual;Cliente Estratégico
13480;16838;2022-11-17;118050;2;118050;60;60;10,9992009929556;4;0;0;2566,69;165,52;0;2753,73;0;112148;21;2022-12-21;2027-11-21;1900-01-01;163932,6;28;21,52;1900;No;Inventario;Cliente_2192;Distribuidor;Comercio;Gobierno;Cliente Estratégico
13789;16335;2023-09-19;31922,5;2;31922,5;60;60;12,000106904452;4;0;0;703,07;49,35;62;828,9;0;31640;18;2023-09-18;2028-08-18;1900-01-01;48865,2;4;14,48;1900;No;Inventario;Cliente_1669;Tercero (Broker);Construcción;Individual;Cliente Ocasional
13935;16165;2024-01-18;23159062,5;1;23159062,5;60;60;12,9992907595199;4;0;0;521292,51;51967,69;33600;617984;0;23008712;18;2024-01-18;2028-12-18;1900-01-01;36411612;5;11123,8;1900;No;Inventario;Cliente_1496;Call Center;Comercio;Corporativo;Cliente Nuevo
13953;17094;2024-02-23;18618965;1;18618965;60;60;13,4984723036086;4;0;0;423653,42;103479,81;69760;619414,4;0;17299563,4;19;2024-02-19;2029-01-19;1900-01-01;35813593,8;1;22521,17;1900;No;Inventario;Cliente_2451;Online;Salud;Individual;Cliente Estratégico
14004;16165;2024-03-21;18111662,8;1;18111662,8;60;60;13,9990196530562;4;0;0;416566,77;53217,94;32384;513296,96;0;17963000;21;2024-03-21;2029-02-21;1900-01-01;30130122,6;5;11128,25;1900;No;Inventario;Cliente_1496;Call Center;Comercio;Corporativo;Cliente Nuevo
14008;16937;2024-04-01;32111164,8;1;32111164,8;60;60;13,9990196530562;4;0;0;738554,17;84202,54;32384;870296,96;0;31962502;1;2024-04-01;2029-03-01;1900-01-01;51308442,6;5;15156,25;1900;No;Inventario;Cliente_2291;Distribuidor;Agroindustria;Corporativo;Cliente Riesgo
14014;17488;2024-04-04;22766863;1;22766863;60;60;13,9990196530562;4;0;0;523635,99;91209,78;32384;663296,96;0;21312143,16;4;2024-04-04;2029-03-04;1900-01-01;38833786,2;5;16067,19;1900;No;Inventario;Cliente_2854;Tercero (Broker);Salud;Corporativo;Cliente Ocasional
13557;16186;2023-02-14;16000;2;16000;60;60;11,6987326168783;4;0;0;353,49;40;0;398,69;0;16000;7;2023-03-07;2028-02-07;1900-01-01;23609,4;21;5,2;1900;No;Inventario;Cliente_1519;Directo;Comercio;Institucional;Cliente Estratégico
13717;16927;2023-07-11;53900;2;53900;60;60;11,5004666632075;4;0;0;1185,4;86,32;0;1282,94;0;51474,5;19;2023-08-19;2028-07-19;1900-01-01;0;39;11,22;1900;No;Inventario;Cliente_2281;Online;Construcción;PyME;Cliente Nuevo
13790;16336;2023-09-19;31922,5;2;31922,5;60;60;12,000106904452;4;0;0;703,07;49,35;62;828,9;0;31640;18;2023-09-18;2028-08-18;1900-01-01;48865,2;4;14,48;1900;No;Inventario;Cliente_1670;Call Center;Comercio;PyME;Cliente Estratégico
14010;17093;2024-04-03;15851065;1;15851065;60;60;13,9853487354262;4;0;0;364452,4;67755,4;33600;478984;0;15430642,5;9;2024-04-02;2029-03-09;1900-01-01;27948468;4;13176,2;1900;No;Inventario;Cliente_2450;Online;Construcción;Corporativo;Cliente Riesgo
13922;16707;2024-01-10;307694550;1;307694550;60;60;11,7506551812942;1;0;0;6739823,96;978619,58;136960;8000428,89;0;299600000;9;2024-01-09;2028-12-09;1900-01-01;471324212,4;4;145025,35;1900;No;Finanzas;Cliente_2053;Call Center;Agroindustria;Institucional;Cliente Ocasional
14117;16707;2024-07-24;251538874,5;1;251538874,5;60;60;11,7506551812942;1;0;0;5509668,7;1531396,44;164800;7426370,68;0;250811437;24;2024-07-24;2029-06-24;1900-01-01;432351908,4;5;220505,54;1900;No;Finanzas;Cliente_2053;Call Center;Agroindustria;Institucional;Cliente Ocasional
13873;17093;2023-11-30;13625000;1;13625000;60;60;13,4984723036086;1;0;0;310021,41;75461,41;34880;434707,2;0;13625000;28;2023-11-28;2028-10-28;1900-01-01;25221769,2;3;14344,38;1900;No;Finanzas;Cliente_2450;Online;Construcción;Corporativo;Cliente Riesgo
13880;16707;2023-12-22;76923637,5;1;76923637,5;60;60;12,9992907595199;1;0;0;1731491,32;203683,65;34240;2000345,05;0;74891460;21;2023-12-21;2028-11-21;1900-01-01;118164898,2;4;30930,08;1900;No;Finanzas;Cliente_2053;Call Center;Agroindustria;Institucional;Cliente Ocasional
13915;10601;2023-12-27;6534613,05;1;6534613,05;60;60;11,4499494384658;1;0;0;143549,21;31475,77;7222,5;187278,25;0;6534613,05;30;2023-12-30;2028-11-30;1900-01-01;10934848,8;3;5030,77;1900;No;Finanzas;Cliente_0109;Directo;Servicios;Institucional;Cliente Riesgo
13989;17461;2024-03-12;60689,19;2;60689,19;60;60;12,738882716226;1;17670;17670;973,07;256,89;62;1333,41;0;57046,62;7;2024-04-07;2029-03-07;1900-01-01;77517,6;26;41,45;1900;No;Finanzas;Cliente_2827;Call Center;Comercio;Gobierno;Cliente Ocasional
14045;17521;2024-05-21;72293,8;2;72293,8;60;60;11,399421535998;1;30000;30000;928,03;115,74;15,5;1076,32907802631;0;69000;21;2024-06-21;2029-05-21;1900-01-01;63556,2;31;17,06;1900;No;Finanzas;Cliente_2888;Directo;Educación;Individual;Cliente Estratégico
